2026-02-03 00:12:44.210 [warning] Running on the desktop; workspaceId=a4c1b0650f9941215db75eefa4ec0198; storageUri=vscode-userdata:/home/david/.config/Code/User/globalStorage/ms-vscode.remote-repositories
2026-02-03 00:12:44.230 [info] [ GHPR] Not currently installed or enabled; waiting...
2026-02-03 00:12:44.230 [info] [ VSCodeEdu ] Not currently installed or enabled; waiting...
2026-02-03 00:13:56.357 [warning] Running on the desktop; workspaceId=621e069c2f8c2fef901ab98cfb7864aa; storageUri=vscode-userdata:/home/david/.config/Code/User/globalStorage/ms-vscode.remote-repositories
2026-02-03 00:13:56.370 [info] [ GHPR] Not currently installed or enabled; waiting...
2026-02-03 00:13:56.370 [info] [ VSCodeEdu ] Not currently installed or enabled; waiting...
2026-02-03 00:13:56.380 [info] [    2] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/settings.json)
2026-02-03 00:13:56.381 [info] [    3] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/tasks.json)
2026-02-03 00:13:56.381 [info] [    4] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/launch.json)
2026-02-03 00:13:56.381 [info] [    5] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/mcp.json)
2026-02-03 00:13:56.381 [info] [    6] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/settings.json)
2026-02-03 00:13:56.382 [info] [    7] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/tasks.json)
2026-02-03 00:13:56.382 [info] [    8] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/launch.json)
2026-02-03 00:13:56.382 [info] [    9] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/mcp.json)
2026-02-03 00:13:56.384 [info] [   10] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode)
2026-02-03 00:13:56.384 [info] [   11] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/extensions)
2026-02-03 00:13:56.384 [info] [   12] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.github/agents)
2026-02-03 00:13:56.384 [info] [   13] fs.stat(vscode-vfs://github/DACDParis/dotfiles)
2026-02-03 00:13:56.384 [info] [   14] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.git/config)
2026-02-03 00:13:56.384 [info] [   15] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.git/config)
2026-02-03 00:13:56.387 [info] [   16] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/extensions.json)
2026-02-03 00:13:56.388 [info] [   17] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/extensions.json)
2026-02-03 00:13:56.486 [info] [    2] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/settings.json): Not found • ChangeStore query took 9 ms • Querying provider...
2026-02-03 00:13:56.486 [info] [    3] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/tasks.json): Not found • ChangeStore query took 10 ms • Querying provider...
2026-02-03 00:13:56.487 [info] [    4] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/launch.json): Not found • ChangeStore query took 10 ms • Querying provider...
2026-02-03 00:13:56.487 [info] [    5] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/mcp.json): Not found • ChangeStore query took 10 ms • Querying provider...
2026-02-03 00:13:56.487 [info] [    7] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/tasks.json): Not found • ChangeStore query took 10 ms • Querying provider...
2026-02-03 00:13:56.487 [info] [    8] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/launch.json): Not found • ChangeStore query took 10 ms • Querying provider...
2026-02-03 00:13:56.487 [info] [    9] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/mcp.json): Not found • ChangeStore query took 10 ms • Querying provider...
2026-02-03 00:13:56.488 [info] [   10] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode): Not found • ChangeStore query took 10 ms • Querying provider...
2026-02-03 00:13:56.488 [info] [   11] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/extensions): Not found • ChangeStore query took 10 ms • Querying provider...
2026-02-03 00:13:56.488 [info] [   14] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.git/config): Not found • ChangeStore query took 10 ms • Querying provider...
2026-02-03 00:13:56.488 [info] [   12] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.github/agents): Not found • ChangeStore query took 10 ms • Querying provider...
2026-02-03 00:13:56.488 [info] [   13] fs.stat(vscode-vfs://github/DACDParis/dotfiles): Not found • ChangeStore query took 10 ms • Querying provider...
2026-02-03 00:13:56.488 [info] [   16] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/extensions.json): Not found • ChangeStore query took 10 ms • Querying provider...
2026-02-03 00:13:56.488 [info] [   15] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.git/config): Not found • ChangeStore query took 11 ms • Querying provider...
2026-02-03 00:13:56.489 [info] [   17] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/extensions.json): Not found • ChangeStore query took 11 ms • Querying provider...
2026-02-03 00:13:56.518 [info] [   19] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.gitignore)
2026-02-03 00:13:57.558 [warning] [   13] fs.stat(vscode-vfs://github/DACDParis/dotfiles) took 1173 ms (Provider query took 1069 ms)
2026-02-03 00:13:57.558 [info] [   20] fs.stat(vscode-vfs://github/DACDParis/dotfiles)
2026-02-03 00:13:57.562 [info] [   20] fs.stat(vscode-vfs://github/DACDParis/dotfiles) took 3 ms (Provider query took 3 ms)
2026-02-03 00:13:57.595 [info] [   21] fs.readDirectory(vscode-vfs://github/DACDParis/dotfiles)
2026-02-03 00:13:57.993 [info] [   21] fs.readDirectory(vscode-vfs://github/DACDParis/dotfiles) took 398 ms (Provider query took 398 ms)
2026-02-03 00:13:57.993 [info] [   22] fs.readDirectory(vscode-vfs://github/DACDParis/dotfiles)
2026-02-03 00:13:57.993 [warning] [   10] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode) took 1609 ms (Provider query took 1505 ms)
2026-02-03 00:13:57.994 [info] [   22] fs.readDirectory(vscode-vfs://github/DACDParis/dotfiles) took 0 ms (Provider query took 0 ms)
2026-02-03 00:13:57.994 [warning] [   19] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.gitignore) took 1475 ms (Provider query took 1475 ms)
2026-02-03 00:13:58.019 [info] [   23] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.gitignore)
2026-02-03 00:13:58.039 [warning] [    7] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/tasks.json) took 1657 ms (Provider query took 1551 ms)
2026-02-03 00:13:58.039 [warning] [    8] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/launch.json) took 1657 ms (Provider query took 1551 ms)
2026-02-03 00:13:58.039 [warning] [    9] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/mcp.json) took 1656 ms (Provider query took 1551 ms)
2026-02-03 00:13:58.039 [warning] [   11] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/extensions) took 1654 ms (Provider query took 1551 ms)
2026-02-03 00:13:58.039 [warning] [   17] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/extensions.json) took 1651 ms (Provider query took 1550 ms)
2026-02-03 00:13:58.039 [warning] [    6] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/settings.json) took 1657 ms (Provider query took 32 ms)
2026-02-03 00:13:58.039 [warning] [    2] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/settings.json) took 1658 ms (Provider query took 1553 ms)
2026-02-03 00:13:58.039 [warning] [    3] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/tasks.json) took 1658 ms (Provider query took 1552 ms)
2026-02-03 00:13:58.039 [warning] [    4] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/launch.json) took 1657 ms (Provider query took 1552 ms)
2026-02-03 00:13:58.039 [warning] [    5] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/mcp.json) took 1657 ms (Provider query took 1552 ms)
2026-02-03 00:13:58.039 [info] [   24] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/mcp.json)
2026-02-03 00:13:58.039 [warning] [   16] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/extensions.json) took 1651 ms (Provider query took 1550 ms)
2026-02-03 00:13:58.040 [info] [   25] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/mcp.json)
2026-02-03 00:13:58.040 [info] [   24] fs.stat(vscode-vfs://github/DACDParis/dotfiles/.vscode/mcp.json) took 1 ms (Provider query took 0 ms)
2026-02-03 00:13:58.041 [info] [   25] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/mcp.json) took 1 ms (Provider query took 0 ms)
2026-02-03 00:13:58.041 [info] [   26] fs.readFile(vscode-vfs://github/DACDParis/dotfiles/.vscode/extensions.json)
